name,currency,date,tenor,rate
GBP_LIBOR_BBA,GBP,"[2016,9,1]",1M,0.28206
GBP_LIBOR_BBA,GBP,"[2016,9,2]",1M,0.28206
GBP_LIBOR_BBA,GBP,"[2016,9,3]",1M,0.28181
GBP_LIBOR_BBA,GBP,"[2016,9,4]",1M,0.27438
GBP_LIBOR_BBA,GBP,"[2016,9,5]",1M,0.27663
GBP_LIBOR_BBA,GBP,"[2016,9,6]",1M,0.27931
GBP_LIBOR_BBA,GBP,"[2016,9,7]",1M,0.27969
GBP_LIBOR_BBA,GBP,"[2016,9,8]",1M,0.27444
GBP_LIBOR_BBA,GBP,"[2016,9,9]",1M,0.27856
GBP_LIBOR_BBA,GBP,"[2016,9,10]",1M,0.27944
GBP_LIBOR_BBA,GBP,"[2016,9,11]",1M,0.27538
GBP_LIBOR_BBA,GBP,"[2016,9,12]",1M,0.27988
GBP_LIBOR_BBA,GBP,"[2016,9,13]",1M,0.27556
GBP_LIBOR_BBA,GBP,"[2016,9,14]",1M,0.27288
GBP_LIBOR_BBA,GBP,"[2016,9,15]",1M,0.27138
GBP_LIBOR_BBA,GBP,"[2016,9,16]",1M,0.26563
GBP_LIBOR_BBA,GBP,"[2016,9,17]",1M,0.27219
GBP_LIBOR_BBA,GBP,"[2016,9,18]",1M,0.28031
GBP_LIBOR_BBA,GBP,"[2016,9,19]",1M,0.27838
GBP_LIBOR_BBA,GBP,"[2016,9,20]",1M,0.27213
GBP_LIBOR_BBA,GBP,"[2016,9,21]",1M,0.26938
GBP_LIBOR_BBA,GBP,"[2016,9,22]",1M,0.26788
GBP_LIBOR_BBA,GBP,"[2016,9,23]",1M,0.26869
GBP_LIBOR_BBA,GBP,"[2016,9,24]",1M,0.27388
GBP_LIBOR_BBA,GBP,"[2016,9,25]",1M,0.27625
GBP_LIBOR_BBA,GBP,"[2016,9,26]",1M,0.27563
GBP_LIBOR_BBA,GBP,"[2016,9,27]",1M,0.26671
GBP_LIBOR_BBA,GBP,"[2016,9,28]",1M,0.27125
GBP_LIBOR_BBA,GBP,"[2016,9,29]",1M,0.26975
GBP_LIBOR_BBA,GBP,"[2016,9,30]",1M,0.26819
GBP_LIBOR_BBA,GBP,"[2016,10,1]",1M,0.27256
GBP_LIBOR_BBA,GBP,"[2016,10,2]",1M,0.26506
GBP_LIBOR_BBA,GBP,"[2016,10,3]",1M,0.26594
GBP_LIBOR_BBA,GBP,"[2016,10,4]",1M,0.27325
GBP_LIBOR_BBA,GBP,"[2016,10,5]",1M,0.27256
GBP_LIBOR_BBA,GBP,"[2016,10,6]",1M,0.26894
GBP_LIBOR_BBA,GBP,"[2016,10,7]",1M,0.26863
GBP_LIBOR_BBA,GBP,"[2016,10,8]",1M,0.2775
GBP_LIBOR_BBA,GBP,"[2016,10,9]",1M,0.27631
GBP_LIBOR_BBA,GBP,"[2016,10,10]",1M,0.26913
GBP_LIBOR_BBA,GBP,"[2016,10,11]",1M,0.27181
GBP_LIBOR_BBA,GBP,"[2016,10,12]",1M,0.2645
GBP_LIBOR_BBA,GBP,"[2016,10,13]",1M,0.2655
GBP_LIBOR_BBA,GBP,"[2016,10,14]",1M,0.26938
GBP_LIBOR_BBA,GBP,"[2016,10,15]",1M,0.2625
GBP_LIBOR_BBA,GBP,"[2016,10,16]",1M,0.26613
GBP_LIBOR_BBA,GBP,"[2016,10,17]",1M,0.26575
GBP_LIBOR_BBA,GBP,"[2016,10,18]",1M,0.2685
GBP_LIBOR_BBA,GBP,"[2016,10,19]",1M,0.27125
GBP_LIBOR_BBA,GBP,"[2016,10,20]",1M,0.273
GBP_LIBOR_BBA,GBP,"[2016,10,21]",1M,0.27163
GBP_LIBOR_BBA,GBP,"[2016,10,22]",1M,0.26663
GBP_LIBOR_BBA,GBP,"[2016,10,23]",1M,0.27563
GBP_LIBOR_BBA,GBP,"[2016,10,24]",1M,0.27063
GBP_LIBOR_BBA,GBP,"[2016,10,25]",1M,0.26325
GBP_LIBOR_BBA,GBP,"[2016,10,26]",1M,0.2715
GBP_LIBOR_BBA,GBP,"[2016,10,27]",1M,0.26688
GBP_LIBOR_BBA,GBP,"[2016,10,28]",1M,0.27388
GBP_LIBOR_BBA,GBP,"[2016,10,29]",1M,0.26775
GBP_LIBOR_BBA,GBP,"[2016,10,30]",1M,0.27138
GBP_LIBOR_BBA,GBP,"[2016,10,31]",1M,0.26675
GBP_LIBOR_BBA,GBP,"[2016,11,1]",1M,0.27675
GBP_LIBOR_BBA,GBP,"[2016,11,2]",1M,0.27038
GBP_LIBOR_BBA,GBP,"[2016,11,3]",1M,0.271
GBP_LIBOR_BBA,GBP,"[2016,11,4]",1M,0.2615
GBP_LIBOR_BBA,GBP,"[2016,11,5]",1M,0.27075
GBP_LIBOR_BBA,GBP,"[2016,11,6]",1M,0.26875
GBP_LIBOR_BBA,GBP,"[2016,11,7]",1M,0.26413
GBP_LIBOR_BBA,GBP,"[2016,11,8]",1M,0.26788
GBP_LIBOR_BBA,GBP,"[2016,11,9]",1M,0.26375
GBP_LIBOR_BBA,GBP,"[2016,11,10]",1M,0.26125
GBP_LIBOR_BBA,GBP,"[2016,11,11]",1M,0.26875
GBP_LIBOR_BBA,GBP,"[2016,11,12]",1M,0.25913
GBP_LIBOR_BBA,GBP,"[2016,11,13]",1M,0.26638
GBP_LIBOR_BBA,GBP,"[2016,11,14]",1M,0.26225
GBP_LIBOR_BBA,GBP,"[2016,11,15]",1M,0.26788
GBP_LIBOR_BBA,GBP,"[2016,11,16]",1M,0.25938
GBP_LIBOR_BBA,GBP,"[2016,11,17]",1M,0.27
GBP_LIBOR_BBA,GBP,"[2016,11,18]",1M,0.26088
GBP_LIBOR_BBA,GBP,"[2016,11,19]",1M,0.25938
GBP_LIBOR_BBA,GBP,"[2016,11,20]",1M,0.26538
GBP_LIBOR_BBA,GBP,"[2016,11,21]",1M,0.26738
GBP_LIBOR_BBA,GBP,"[2016,11,22]",1M,0.2675
GBP_LIBOR_BBA,GBP,"[2016,11,23]",1M,0.2635
GBP_LIBOR_BBA,GBP,"[2016,11,24]",1M,0.26175
GBP_LIBOR_BBA,GBP,"[2016,11,25]",1M,0.25888
GBP_LIBOR_BBA,GBP,"[2016,11,26]",1M,0.25956
GBP_LIBOR_BBA,GBP,"[2016,11,27]",1M,0.26713
GBP_LIBOR_BBA,GBP,"[2016,11,28]",1M,0.26825
GBP_LIBOR_BBA,GBP,"[2016,11,29]",1M,0.25825
GBP_LIBOR_BBA,GBP,"[2016,11,30]",1M,0.26563
GBP_LIBOR_BBA,GBP,"[2016,12,1]",1M,0.25675
GBP_LIBOR_BBA,GBP,"[2016,12,2]",1M,0.26613
GBP_LIBOR_BBA,GBP,"[2016,12,3]",1M,0.26081
GBP_LIBOR_BBA,GBP,"[2016,12,4]",1M,0.25794
GBP_LIBOR_BBA,GBP,"[2016,12,5]",1M,0.25844
GBP_LIBOR_BBA,GBP,"[2016,12,6]",1M,0.26144
GBP_LIBOR_BBA,GBP,"[2016,12,7]",1M,0.26994
GBP_LIBOR_BBA,GBP,"[2016,12,8]",1M,0.27056
GBP_LIBOR_BBA,GBP,"[2016,12,9]",1M,0.26575
GBP_LIBOR_BBA,GBP,"[2016,12,10]",1M,0.27044
GBP_LIBOR_BBA,GBP,"[2016,12,11]",1M,0.26656
GBP_LIBOR_BBA,GBP,"[2016,12,12]",1M,0.26619
GBP_LIBOR_BBA,GBP,"[2016,12,13]",1M,0.26319
GBP_LIBOR_BBA,GBP,"[2016,12,14]",1M,0.26494
GBP_LIBOR_BBA,GBP,"[2016,12,15]",1M,0.26219
GBP_LIBOR_BBA,GBP,"[2016,12,16]",1M,0.26819
GBP_LIBOR_BBA,GBP,"[2016,12,17]",1M,0.27394
GBP_LIBOR_BBA,GBP,"[2016,12,18]",1M,0.26694
GBP_LIBOR_BBA,GBP,"[2016,12,19]",1M,0.26519
GBP_LIBOR_BBA,GBP,"[2016,12,20]",1M,0.27219
GBP_LIBOR_BBA,GBP,"[2016,12,21]",1M,0.26256
GBP_LIBOR_BBA,GBP,"[2016,12,22]",1M,0.26094
GBP_LIBOR_BBA,GBP,"[2016,12,23]",1M,0.26319
GBP_LIBOR_BBA,GBP,"[2016,12,24]",1M,0.26369
GBP_LIBOR_BBA,GBP,"[2016,12,25]",1M,0.26931
GBP_LIBOR_BBA,GBP,"[2016,12,26]",1M,0.26581
GBP_LIBOR_BBA,GBP,"[2016,12,27]",1M,0.2675
GBP_LIBOR_BBA,GBP,"[2016,12,28]",1M,0.27
GBP_LIBOR_BBA,GBP,"[2016,12,29]",1M,0.26756
GBP_LIBOR_BBA,GBP,"[2016,12,30]",1M,0.27025
GBP_LIBOR_BBA,GBP,"[2016,12,31]",1M,0.26994
GBP_LIBOR_BBA,GBP,"[2017,1,1]",1M,0.26888
GBP_LIBOR_BBA,GBP,"[2017,1,2]",1M,0.26688
GBP_LIBOR_BBA,GBP,"[2017,1,3]",1M,0.26838
GBP_LIBOR_BBA,GBP,"[2017,1,4]",1M,0.26375
GBP_LIBOR_BBA,GBP,"[2017,1,5]",1M,0.27181
GBP_LIBOR_BBA,GBP,"[2017,1,6]",1M,0.26363
GBP_LIBOR_BBA,GBP,"[2017,1,7]",1M,0.26738
GBP_LIBOR_BBA,GBP,"[2017,1,8]",1M,0.274
GBP_LIBOR_BBA,GBP,"[2017,1,9]",1M,0.26506
GBP_LIBOR_BBA,GBP,"[2017,1,10]",1M,0.26513
GBP_LIBOR_BBA,GBP,"[2017,1,11]",1M,0.26938
GBP_LIBOR_BBA,GBP,"[2017,1,12]",1M,0.25788
GBP_LIBOR_BBA,GBP,"[2017,1,13]",1M,0.26525
GBP_LIBOR_BBA,GBP,"[2017,1,14]",1M,0.26125
GBP_LIBOR_BBA,GBP,"[2017,1,15]",1M,0.26163
GBP_LIBOR_BBA,GBP,"[2017,1,16]",1M,0.26938
GBP_LIBOR_BBA,GBP,"[2017,1,17]",1M,0.26013
GBP_LIBOR_BBA,GBP,"[2017,1,18]",1M,0.26913
GBP_LIBOR_BBA,GBP,"[2017,1,19]",1M,0.2625
GBP_LIBOR_BBA,GBP,"[2017,1,20]",1M,0.2685
GBP_LIBOR_BBA,GBP,"[2017,1,21]",1M,0.265
GBP_LIBOR_BBA,GBP,"[2017,1,22]",1M,0.26781
GBP_LIBOR_BBA,GBP,"[2017,1,23]",1M,0.26488
GBP_LIBOR_BBA,GBP,"[2017,1,24]",1M,0.25938
